Goal_1,Goal_2,Goal_3,Goal_4,Goal_5,Goal_6,Goal_7,Goal_8,Goal_9
90.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27.000,72.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.300,43.199,50.400,0.000,0.000,0.000,0.000,0.000,0.000
1.350,17.999,50.399,30.240,0.000,0.000,0.000,0.000,0.000
0.279,6.479,32.759,45.360,15.120,0.000,0.000,0.000,0.000
0.056,2.167,17.639,42.336,31.752,6.048,0.000,0.000,0.000
0.011,0.695,8.573,31.751,40.219,16.934,1.814,0.000,0.000
0.002,0.217,3.916,21.019,40.007,27.941,6.531,0.362,0.000
0.000,0.067,1.718,12.859,34.514,35.562,13.608,1.632,0.036
0.000,0.020,0.734,7.461,27.138,38.699,21.555,4.191,0.199
0.000,0.006,0.308,4.171,20.013,37.944,28.853,8.083,0.618
0.000,0.001,0.127,2.270,14.093,34.566,34.466,13.045,1.427
0.000,0.000,0.052,1.211,9.591,29.834,37.943,18.634,2.731
