Match,R1,R2,R3,B1,B2,B3
1,948,125,2468,343,930,5142
2,9085,1323,7617,9072,10428,6431
3,7565,868,9787,5472,3937,6328
4,1825,4272,422,10077,5406,108
5,6665,7563,8590,1710,6940,5843
6,1778,10014,1502,1730,7531,10523
7,4499,6738,5535,5124,3538,6147
8,2412,2832,4909,449,5553,4905
9,294,7426,1072,2635,3044,2974
10,5468,1388,6459,1807,6996,2429
11,148,3847,3008,7444,1880,360
12,188,5026,2228,7415,624,4091
13,5406,2910,868,7538,1710,3655
14,9085,10523,10077,6665,3937,2468
15,5142,9072,1323,4272,7565,5124
16,930,6328,10014,1825,4905,8590
17,7531,3538,5843,125,6431,2635
18,422,10428,5472,5553,343,7563
19,7617,108,1880,4499,1072,9787
20,1388,2832,3044,624,2228,7444
21,3847,2429,7415,948,2910,449
22,1807,294,360,1778,5535,5026
23,4909,1502,2974,6996,6147,5468
24,6738,3008,7538,6459,4091,2412
25,188,6940,3655,148,1730,7426
26,5472,5124,343,6431,1825,10523
27,1710,108,930,2635,5142,9085
28,1880,3044,10428,5843,5406,2468
29,3538,2910,7415,9787,6665,1388
30,8590,449,2429,10077,1323,1807
31,7444,4499,4905,9072,868,2974
32,6328,1778,6738,2228,948,4909
33,7565,1072,360,1502,4091,3655
34,7531,5535,3847,422,188,6996
35,5553,6459,7617,125,148,7563
36,5026,1730,5468,3937,6147,3008
37,7538,2832,294,6940,10014,4272
38,7426,2412,3538,624,5406,9085
39,108,7444,2635,2910,5472,1807
40,2228,6738,5142,1825,2974,6665
41,10523,3655,9072,2429,5843,4909
42,868,188,1323,930,3044,360
43,4091,148,6431,4905,2468,5535
44,1730,4499,10077,1388,10428,6328
45,8590,5468,3847,1072,7538,6459
46,4272,1778,2832,6996,7415,7617
47,3937,1502,422,5124,125,2412
48,6147,449,343,3008,7565,6940
49,5553,10014,1710,1880,5026,7426
50,7563,624,7531,9787,294,948
51,10523,930,2228,5535,5406,148
52,5843,6328,4499,1807,9085,188
53,360,6431,7538,108,4909,5142
54,3538,2429,9072,2468,1825,1778
55,125,10077,6459,3044,868,5472
56,2412,6996,1323,6147,4091,6940
57,1880,6738,2910,2832,7426,422
58,4905,3937,1388,294,3847,5553
59,5124,7415,449,5468,7444,1710
60,10428,2635,4272,1502,8590,624
61,7565,6665,1730,7617,2974,948
62,1072,3655,7531,5026,7563,3008
63,343,9787,148,10014,4909,10077
64,108,6940,2468,6328,5535,2228
65,7426,1825,1807,868,7538,6147
66,4091,294,5406,3847,9072,125
67,360,2412,5553,10523,5468,4499
68,3937,188,2635,6431,6738,7444
69,948,1323,5472,1388,1710,1502
70,5843,5124,1072,2832,1730,6996
71,2974,1880,343,7531,7415,8590
72,10014,3655,10428,5142,6459,3538
73,624,422,449,7617,6665,930
74,2429,4272,3044,9085,3008,9787
75,7563,4905,1778,2910,5026,7565
76,6940,125,6738,3847,10523,108
77,6147,948,9072,188,5472,148
78,294,6996,1710,360,10077,2228
79,1730,5535,868,343,8590,2412
80,4499,1502,6431,7415,10014,5406
81,624,1807,6665,3655,1880,5124
82,7444,930,7538,9787,2429,7531
83,10428,3538,3937,449,1072,3044
84,2974,6328,4091,2910,5553,4272
85,5843,5142,7426,3008,7617,4905
86,422,2635,7563,1323,5468,1778
87,4909,1825,9085,6459,5026,2832
88,7565,1388,2412,2468,188,10014
89,108,148,868,6665,5124,294
90,6996,343,1502,6738,9072,930
91,5406,6431,6147,1072,2429,624
92,6940,2228,2910,4499,10428,7531
93,7444,7617,3655,6328,10077,5553
94,1710,2974,1807,3008,422,10523
95,7563,4909,4091,3044,8590,3538
96,9085,1778,1880,5142,449,1388
97,5026,9787,1825,1323,5843,3847
98,2468,1730,7415,5472,7538,4905
99,5535,125,7565,2832,2635,5468
100,948,360,4272,7426,6459,3937
101,343,7617,2910,1502,294,188
102,9072,2228,6665,2412,1807,1072
103,3008,624,10014,868,5553,6996
104,148,3044,4499,422,1710,2429
105,6431,2974,5026,930,1388,6940
106,3538,1323,7538,1880,10523,6328
107,5535,9085,5843,6738,7415,7565
108,2635,4905,5124,6459,948,5406
109,4091,7444,125,10428,7426,1778
110,7563,9787,1730,449,360,1825
111,8590,6147,108,3655,3937,2832
112,3847,2468,5472,4272,7531,4909
113,10077,5142,294,5468,2412,188
114,2429,868,1502,2228,3538,1880
115,10014,9085,2910,1323,1072,5535
116,5553,7565,948,3044,1807,6431
117,7415,3008,6328,2635,9072,148
118,6996,449,5026,7538,4499,125
119,2974,5843,6459,1778,108,624
120,8590,2468,10428,6147,360,6738
121,9787,5472,10523,4091,2832,5142
122,7426,3847,5124,10077,7563,930
123,4905,4272,5468,3655,343,6665
124,1388,7531,1825,7617,1710,3937
125,5406,422,7444,4909,6940,1730
